charge_cycles,avg_temperature,avg_cpu_load,ssd_tbw,ram_swap_stress,overall_health
102,28.813517838850434,56.5498790071164,39,21.600399386336548,72.27992012273269
435,27.405415903496973,45.34226147370964,85,0.0,49.0
860,26.398913976931944,37.03971377925512,31,32.18210207954996,56.2592057244149
270,32.4105190964083,0.10081561445822729,40,0.0,76.0
106,35.46448176298296,47.608048117117306,1,51.89631723719555,89.02073655256089
71,23.847199562375366,74.58354535418138,71,38.368173147707154,49.726365370458566
700,25.49083298616045,52.24612768829055,6,13.295236384733393,63.95507744623419
20,28.444136993102255,21.846106758763902,18,4.55600629406694,88.28879874118661
614,26.360090816906876,32.27295280668056,32,0.0,68.65454094386638
121,34.29406581239544,44.181601170047394,1,18.101066583258905,93.06636797659905
466,36.88977277120704,62.73322405287886,66,49.314090530914434,50.53718189381711
214,35.79099048213274,20.884977303096356,91,21.537788232340787,41.092442353531844
330,35.80265510998242,25.68971710199713,77,25.698464844188514,48.660307031162304
458,47.36793372230889,34.13666892101502,14,2.36848667143267,70.41742452870454
87,37.389468797017244,32.38634576815622,20,17.373116003988798,84.52537679920223
372,40.271713983113976,50.847191412823264,77,24.35501673802641,48.92899665239472
99,30.683074001784217,40.24595373340729,58,33.10277380198178,58.57944523960364
871,41.55204914129193,7.056464855949393,81,25.601193018262208,46.27976139634755
663,30.301179809653426,21.86435930382246,38,41.218809364570035,66.41271281392355
130,37.29158662070872,22.440054541117956,19,46.37378842155526,79.32524231568894
661,23.02906505454094,0.0,0,68.2115845882146,66.94999999999999
308,35.329873055904976,53.59273345436712,72,35.497716088248254,49.70045678235035
769,26.1969581186453,37.648500853454735,8,40.52062872909523,60.7970299829309
343,41.48828523587126,24.186413144440454,50,16.934360799203517,66.6131278401593
491,41.00701169599027,53.05220315870377,37,68.4673030090878,64.10653939818243
413,30.26698089952726,41.026588063470015,92,18.240034898852798,41.15199302022945
805,50.39659942899632,9.27757676076855,14,45.05110252753215,49.50768532186881
385,31.7129736304522,47.19184912412845,83,17.677784246123814,46.66444315077524
191,21.103848794619783,62.459260278463546,40,26.388885137204344,70.72222297255914
955,27.767056237098558,32.202064899650956,93,30.499280290240137,38.10014394195198
276,25.646871821137193,33.65901614331204,46,0.0,72.4
160,37.036816814290034,37.155203482253036,25,34.9598355880413,78.00803288239175
459,24.117095786620382,10.642114467674762,53,27.993998240921048,62.60120035181579
313,29.686287873550036,37.82839497143387,69,13.153442411904784,55.96931151761905
21,36.516417364294156,17.170052811033973,38,4.8850342157266375,76.22299315685467
252,35.10916715769442,34.86948755158324,16,13.982533651121997,86.70261024896834
747,33.898849501265765,38.31783061482116,69,3.4336506803666786,57.913269863926665
856,35.00800415235254,45.61579394502038,91,17.489488561766933,41.90210228764661
560,31.035999219938766,46.35114820822804,8,13.2631729160269,71.07297703583544
474,21.169983554669358,16.446162743358833,90,21.28980933843325,41.74203813231335
58,30.82529423404284,38.752267428336566,98,49.037744012700074,31.392451197459987
510,37.749998274522284,54.121821263664444,45,7.272214012211318,71.54555719755774
681,32.904520091124766,11.932332017900432,5,15.413091163838617,65.71135335964198
475,37.131906985044004,69.9020654268385,67,32.91604307167954,53.216791385664095
699,29.30573576392412,15.55159348138033,15,5.492492654624307,64.73896813037238
975,41.95468863902343,67.54885906329906,86,49.051735949998545,38.58965281000029
782,20.0,15.903238063929503,86,5.87789736866473,47.22442052626705
189,35.13152410338684,33.87559202291677,28,33.359980204338115,76.52800395913238
957,44.79104277697023,31.141901479543023,40,56.54976157338959,48.38110684966382
686,45.9815881283317,7.66391209775032,67,5.40982406526318,58.71803518694737
957,32.1453906460602,48.96387399759913,61,10.008518635338291,51.17072252004802
562,23.390414754856927,49.99068764528782,39,18.72764358752932,70.90018624709425
875,44.931782738746875,47.39482775013084,61,30.479390092614334,52.0164091091778
566,33.585078665555514,30.030427522700606,23,26.7439098965518,71.09939144954599
243,32.72824368584095,20.96487385129562,5,29.571553355889396,87.43070252297409
831,26.857162872978154,56.98312965712505,39,42.65522592718723,57.31033740685749
504,24.00090015313394,39.26887997733901,69,25.318819165649003,53.5362361668702
130,38.51090535139483,19.874267010493433,57,0.0,65.80000000000001
484,39.358971638069285,39.2907404567302,13,61.837208181501275,75.01418519086539
818,35.61235201439537,1.5059422510373324,77,40.784347568934855,45.64313048621303
